"name","mean","sd"
"cover.herbaceous_NDVI.delta",0.112743413445036,0.0687993180217179
"cover.herbaceous_NDVI.norm.curr",0.114391107202217,0.0820847860749369
"cover.shrub_NDVI.delta",0.0930504625325438,0.0641419965234337
"cover.shrub_NDVI.norm.curr",0.104285507980254,0.0946986449880225
"cover.tree_NDVI.delta",0.0574526959677468,0.0745540312328259
"cover.tree_NDVI.norm.curr",0.0758066336556475,0.116331983643669
"daydiff.log",8.69344089103493,1.11198770646544
"foraging.prior",0.534098081069611,0.312453706593541
"foraging_prior",0.53362292344665,0.311518278725235
"snd",0.0894779587835212,0.19723819421815
